Story,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [7],AI [7]
33.0,The Moonbase,"""Episode 4""",Morris Barry,Kit Pedler,4 March 1967,HH,8.1,58.0
34.0,The Macra Terror,"""Episode 1""†",John Davies,Ian Stuart Black,11 March 1967,JJ,8.0,50.0
34.0,The Macra Terror,"""Episode 2""†",John Davies,Ian Stuart Black,18 March 1967,JJ,7.9,48.0
34.0,The Macra Terror,"""Episode 3""†",John Davies,Ian Stuart Black,25 March 1967,JJ,8.5,52.0
34.0,The Macra Terror,"""Episode 4""†",John Davies,Ian Stuart Black,1 April 1967,JJ,8.4,49.0
35.0,The Faceless Ones,"""Episode 1""",Gerry Mill,David Ellis and Malcolm Hulke,8 April 1967,KK,8.0,51.0
35.0,The Faceless Ones,"""Episode 2""†",Gerry Mill,David Ellis and Malcolm Hulke,15 April 1967,KK,6.4,50.0
35.0,The Faceless Ones,"""Episode 3""",Gerry Mill,David Ellis and Malcolm Hulke,22 April 1967,KK,7.9,53.0
35.0,The Faceless Ones,"""Episode 4""†",Gerry Mill,David Ellis and Malcolm Hulke,29 April 1967,KK,6.9,55.0
35.0,The Faceless Ones,"""Episode 5""†",Gerry Mill,David Ellis and Malcolm Hulke,6 May 1967,KK,7.1,55.0
35.0,The Faceless Ones,"""Episode 6""†",Gerry Mill,David Ellis and Malcolm Hulke,13 May 1967,KK,8.0,52.0
36.0,The Evil of the Daleks,"""Episode 1""†",Derek Martinus,David Whitaker,20 May 1967,LL,8.1,51.0
36.0,The Evil of the Daleks,"""Episode 2""",Derek Martinus,David Whitaker,27 May 1967,LL,7.5,51.0
36.0,The Evil of the Daleks,"""Episode 3""†",Derek Martinus,David Whitaker,3 June 1967,LL,6.1,52.0
36.0,The Evil of the Daleks,"""Episode 4""†",Derek Martinus,David Whitaker,10 June 1967,LL,5.3,51.0
36.0,The Evil of the Daleks,"""Episode 5""†",Derek Martinus,David Whitaker,17 June 1967,LL,5.1,53.0
36.0,The Evil of the Daleks,"""Episode 6""†",Derek Martinus,David Whitaker,24 June 1967,LL,6.8,49.0
36.0,The Evil of the Daleks,"""Episode 7""†",Derek Martinus,David Whitaker,1 July 1967,LL,6.1,56.0
37.0,The Tomb of the Cybermen,"""Episode 1""",Morris Barry,Kit Pedler and Gerry Davis,2 September 1967,MM,6.0,53.0
37.0,The Tomb of the Cybermen,"""Episode 2""",Morris Barry,Kit Pedler and Gerry Davis,9 September 1967,MM,6.4,52.0
37.0,The Tomb of the Cybermen,"""Episode 3""",Morris Barry,Kit Pedler and Gerry Davis,16 September 1967,MM,7.2,49.0
37.0,The Tomb of the Cybermen,"""Episode 4""",Morris Barry,Kit Pedler and Gerry Davis,23 September 1967,MM,7.4,50.0
38.0,The Abominable Snowmen,"""Episode One""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,30 September 1967,NN,6.3,50.0
38.0,The Abominable Snowmen,"""Episode Two""",Gerald Blake,Mervyn Haisman and Henry Lincoln,7 October 1967,NN,6.0,52.0
38.0,The Abominable Snowmen,"""Episode Three""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,14 October 1967,NN,7.1,51.0
38.0,The Abominable Snowmen,"""Episode Four""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,21 October 1967,NN,7.1,50.0
38.0,The Abominable Snowmen,"""Episode Five""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,28 October 1967,NN,7.2,51.0
38.0,The Abominable Snowmen,"""Episode Six""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,4 November 1967,NN,7.4,52.0
39.0,The Ice Warriors,"""One""",Derek Martinus,Brian Hayles,11 November 1967,OO,6.7,52.0
39.0,The Ice Warriors,"""Two""†",Derek Martinus,Brian Hayles,18 November 1967,OO,7.1,52.0
39.0,The Ice Warriors,"""Three""†",Derek Martinus,Brian Hayles,25 November 1967,OO,7.4,51.0
39.0,The Ice Warriors,"""Four""",Derek Martinus,Brian Hayles,2 December 1967,OO,7.3,51.0
39.0,The Ice Warriors,"""Five""",Derek Martinus,Brian Hayles,9 December 1967,OO,8.0,50.0
39.0,The Ice Warriors,"""Six""",Derek Martinus,Brian Hayles,16 December 1967,OO,7.5,51.0
40.0,The Enemy of the World,"""Episode 1""",Barry Letts,David Whitaker,23 December 1967,PP,6.8,50.0
40.0,The Enemy of the World,"""Episode 2""",Barry Letts,David Whitaker,30 December 1967,PP,7.6,49.0
40.0,The Enemy of the World,"""Episode 3""",Barry Letts,David Whitaker,6 January 1968,PP,7.1,48.0
40.0,The Enemy of the World,"""Episode 4""",Barry Letts,David Whitaker,13 January 1968,PP,7.8,49.0
40.0,The Enemy of the World,"""Episode 5""",Barry Letts,David Whitaker,20 January 1968,PP,6.9,49.0
40.0,The Enemy of the World,"""Episode 6""",Barry Letts,David Whitaker,27 January 1968,PP,8.3,52.0
41.0,The Web of Fear,"""Episode 1""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,3 February 1968,QQ,7.2,54.0
41.0,The Web of Fear,"""Episode 2""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,10 February 1968,QQ,6.8,53.0
41.0,The Web of Fear,"""Episode 3""†",Douglas Camfield,Mervyn Haisman and Henry Lincoln,17 February 1968,QQ,7.0,51.0
41.0,The Web of Fear,"""Episode 4""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,24 February 1968,QQ,8.4,53.0
41.0,The Web of Fear,"""Episode 5""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,2 March 1968,QQ,8.0,55.0
41.0,The Web of Fear,"""Episode 6""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,9 March 1968,QQ,8.3,55.0
42.0,Fury from the Deep,"""Episode 1""†",Hugh David,Victor Pemberton,16 March 1968,RR,8.2,55.0
42.0,Fury from the Deep,"""Episode 2""†",Hugh David,Victor Pemberton,23 March 1968,RR,7.9,55.0
42.0,Fury from the Deep,"""Episode 3""†",Hugh David,Victor Pemberton,30 March 1968,RR,7.7,56.0
42.0,Fury from the Deep,"""Episode 4""†",Hugh David,Victor Pemberton,6 April 1968,RR,6.6,56.0
42.0,Fury from the Deep,"""Episode 5""†",Hugh David,Victor Pemberton,13 April 1968,RR,5.9,56.0
42.0,Fury from the Deep,"""Episode 6""†",Hugh David,Victor Pemberton,20 April 1968,RR,6.9,57.0
43.0,The Wheel in Space,"""Episode 1""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),27 April 1968,SS,7.2,57.0
43.0,The Wheel in Space,"""Episode 2""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),4 May 1968,SS,6.9,60.0
43.0,The Wheel in Space,"""Episode 3""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),11 May 1968,SS,7.5,55.0
43.0,The Wheel in Space,"""Episode 4""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),18 May 1968,SS,8.6,56.0
43.0,The Wheel in Space,"""Episode 5""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),25 May 1968,SS,6.8,57.0
43.0,The Wheel in Space,"""Episode 6""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1 June 1968,SS,6.5,62.0
44.0,The Dominators,"""Episode 1""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),10 August 1968,TT,6.1,52.0
44.0,The Dominators,"""Episode 2""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),17 August 1968,TT,5.9,55.0
44.0,The Dominators,[Episode 3][note 1],Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),24 August 1968,TT,5.4,55.0
44.0,The Dominators,"""Episode 4""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),31 August 1968,TT,7.5,51.0
44.0,The Dominators,"""Episode 5""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),7 September 1968,TT,5.9,53.0
45.0,The Mind Robber,"""Episode 1""",David Maloney,Derrick Sherwin,14 September 1968,UU,6.6,51.0
45.0,The Mind Robber,"""Episode 2""",David Maloney,Peter Ling,21 September 1968,UU,6.5,49.0
45.0,The Mind Robber,"""Episode 3""",David Maloney,Peter Ling,28 September 1968,UU,7.2,53.0
45.0,The Mind Robber,"""Episode 4""",David Maloney,Peter Ling,5 October 1968,UU,7.3,56.0
45.0,The Mind Robber,"""Episode 5""",David Maloney,Peter Ling,12 October 1968,UU,6.7,49.0
46.0,The Invasion,"""Episode One""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),2 November 1968,VV,7.3,55.0
46.0,The Invasion,"""Episode ""Two""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),9 November 1968,VV,7.1,53.0
46.0,The Invasion,"""Episode Three""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),16 November 1968,VV,7.1,54.0
46.0,The Invasion,"""Episode Four""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),23 November 1968,VV,6.4,51.0
46.0,The Invasion,"""Episode Five""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),30 November 1968,VV,6.7,52.0
46.0,The Invasion,"""Episode Six""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),7 December 1968,VV,6.5,56.0
46.0,The Invasion,"""Episode Seven""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),14 December 1968,VV,7.2,55.0
46.0,The Invasion,"""Episode Eight""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),21 December 1968,VV,7.0,53.0
47.0,The Krotons,"""Episode One""",David Maloney,Robert Holmes,28 December 1968,WW,9.0,59.0
47.0,The Krotons,"""Episode Two""",David Maloney,Robert Holmes,4 January 1969,WW,8.4,57.0
47.0,The Krotons,"""Episode Three""",David Maloney,Robert Holmes,11 January 1969,WW,7.5,56.0
47.0,The Krotons,"""Episode Four""",David Maloney,Robert Holmes,18 January 1969,WW,7.1,55.0
48.0,The Seeds of Death,"""Episode One""",Michael Ferguson,Brian Hayles,25 January 1969,XX,6.6,57.0
48.0,The Seeds of Death,"""Episode Two""",Michael Ferguson,Brian Hayles,1 February 1969,XX,6.8,59.0
